count,date,title,description,org_link,link
470,2024-08-15 10:48:00,"양주시, 첨단 디지털 방사선 촬영 장비 도입… 지역주민 건강 및 편의 증진 기...","시는 '첨단 디지털 방사선 촬영 장비'는 기존 노후화된 방사선 촬영 장비와 달리 정확도와 안정성이 크게 높으며 <b>인공지능</b>(AI) 기능 탑재로 의료진의 정확한 진단에 획기적인 도움이 될 전망이라고 설명했다. 또한, 이번... ",https://www.joongdo.co.kr/web/view.php?key=20240814010003809,https://www.joongdo.co.kr/web/view.php?key=20240814010003809
471,2024-08-15 10:48:00,"LG전자, 베트남에 '올레드 TV' 아트 마케팅 확대","표현했다.<b>인공지능</b>(AI) 성능을 갖춘 알파11 프로세서와 자유로운 공간경험을 제공하는 무선 올레드 TV는 이번 전시의 핵심 모티프인 <b>지능</b>, 자유 등을 관람객들에게 효과적으로 전달했다.LG전자는 지난 6월 필리핀... ",https://www.asiatoday.co.kr/view.php?key=20240815010008188,https://www.asiatoday.co.kr/view.php?key=20240815010008188
472,2024-08-15 10:48:00,"[칼럼]생성 AI 시대, 경진대회의 방향은?",이와 더불어 현 정부 들어 정부 주도의 <b>인공지능</b> 대회들이 중단되거나 축소되어 관련 기술 기업과 연구자들에게 제공되던 소중한 기회가 사라졌다. 국내 대표적인 <b>인공지능</b> 대회로는 과학기술정보통신부가 주최한... ,http://digitalchosun.dizzo.com/site/data/html_dir/2024/08/12/2024081280051.html,http://digitalchosun.dizzo.com/site/data/html_dir/2024/08/12/2024081280051.html
473,2024-08-15 10:48:00,"서구, '뇌나이 청춘 프로젝트' 치매예방 업무협약","SK케미칼과 행복나눔재단은 <b>인공지능</b>과 음성인식 기술이 탑재된 1억9천만원 상당의 디지털 인지훈련 기기 총 24대 지원 및 인지코치 양성 교육을 진행한다. 사운드마인드는 인지훈련 앱(APP) 운영, 데이터 분석 및... ",http://www.jeollailbo.com/news/articleView.html?idxno=741658,http://www.jeollailbo.com/news/articleView.html?idxno=741658
474,2024-08-15 10:46:00,"SKT, AI 기술로 복원한 광복 순간...'815 리마스터링' 프로젝트 공개","SK텔레콤이 자체 <b>인공지능</b>(AI) 기술을 이용해 1945년 광복 전후의 영상 및 음원을 더욱 선명하게 복원하는 디지털 프로젝트를 진행했다고 14일 밝혔다. 사측에 따르면, '815 리마스터링' 프로젝트는 자사 <b>인공지능</b>(AI)... ",https://www.thepublic.kr/news/articleView.html?idxno=232542,https://www.thepublic.kr/news/articleView.html?idxno=232542
475,2024-08-15 10:46:00,금융사도 생성형 AI 활용한다...10년 만에 '망분리 완화',"금융권에 도입된 망분리 규제가 10년 만에 완화되면서, 금융사들이 생성형 AI(<b>인공지능</b>)를 활용한 혁신적인 금융서비스를 선보일 수 있는 길이 열렸다. 금융위원회는 지난 13일 KB국민은행 통합 IT센터에서 김병환... ",https://www.thepublic.kr/news/articleView.html?idxno=232553,https://www.thepublic.kr/news/articleView.html?idxno=232553
476,2024-08-15 10:45:00,‘AI 열풍’에 대기업 2분기 영업익 59조원…작년보다 2배 늘었다,전 세계적인 <b>인공지능</b>(AI) 열풍과 함께 반도체 업황이 호조를 보이면서 국내 500대 기업의 올해 2분기 영업이익이 지난해 같은 기간보다 2배 이상 급증한 것으로 나타났다. 특히 AI 반도체 특수 등으로... ,https://www.khan.co.kr/economy/economy-general/article/202408151044001,https://n.news.naver.com/mnews/article/032/0003315088?sid=101
477,2024-08-15 10:45:00,"대동, 2분기 영업익 360억…&quot;농기계 시장 침체에도 선방&quot;",4·4분기에는 올해 설립한 <b>인공지능</b>(AI) 로봇 소프트웨어 전문 회사 대동에이아이랩의 AI 기술을 탑재한 운반&amp;방제 농업용 로봇의 국내 판매를 추진한다. 원유현 대동 대표는 &quot;올 2·4분기 비교적 좋은 성과를 냈지만... ,http://www.fnnews.com/news/202408141600529032,https://n.news.naver.com/mnews/article/014/0005228103?sid=101
478,2024-08-15 10:44:00,경기북부에도 소방학교 들어선다,"<b>인공지능</b>(AI), 가상현실(VR), 확장현실(XR) 등 첨단 기술을 적용해 미래형 실전 대처능력을 높이는 훈련을 수행할 수 있도록 첨단 통합전술훈련장, 구조구급 전문 실습장, 소방훈련탑, 소방시설 실습장 등을 만들... ",https://www.hani.co.kr/arti/area/capital/1153815.html,https://n.news.naver.com/mnews/article/028/0002702832?sid=102
479,2024-08-15 10:44:00,"삼성전자, ‘AI 가전’ 150만대 판매 돌파","삼성전자는 올해 <b>인공지능</b>(AI) 가전이 7월까지 누적 기준으로 150만대 넘게 판매되며 가파른 성장을 이어가고 있다고 15일 밝혔다. 삼성전자는 올해 출시된 가전, TV에 고성능 AI 칩이나 카메라, 센서를 탑재해 AI 가전... ",https://sports.khan.co.kr/news/sk_index.html?art_id=202408151044003&sec_id=561101&pt=nv,https://n.news.naver.com/mnews/article/144/0000982249?sid=105
