순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
66,2022-05-20,Sales Taxi Aereo,Embraer EMB-110P1 Bandeirante,APR,2,0,"Sales Taxi Aereo 소속 Embraer EMB-110P1 Bandeirante 항공기가 브라질 Eldorado do Sul 공항에 접근 중 좌측 엔진이 이상을 일으켜 공항 옆 농경지에 불시착하여 탑승자 2명 중 조종사 1명은 중상, 나머지 조종사 1명은 경미한 부상을 입음."
67,2022-05-24,Yakutat Coastal Airlines,DHC-3T Turbine Otter,APR,4,0,Yakutat Coastal Airlines 소속 DHC-3T Turbine Otter 항공기가 알래스카 Dry Bay 공항에 접근 중 활주로에 미치지 못하고 추락하여 탑승자 4명이 심각한 부상을 입음.
68,2022-05-28,Unknown,Beech B200 King Air,TOF,4,0,"소속불명 Beech B200 King Air 항공기가 남아프리카 Lynedoch 부근 개인 비행장에서 단거리 이륙 절차 수행 도중 이륙속도에 도달하지 못한 채 airborne 하여 실속이 발생, 나무와 충돌 후 정지하였으나 인명피해 없음. "
69,2022-05-29,Tara Air,DHC-6 Twin Otter 300,ENR,22,22,Tara Air 소속 DHC-6 Twin Otter 300 항공기가 네팔 Pokhara 공항에서 이륙 직후 산에 충돌하여 탑승자 22명 전원 사망함.
70,2022-06-02,Kam Aviation LLC,Cessna 525 CitationJet,STD,0,0,Kam Aviation LLC 소속 Cessna 525 CitationJet 항공기가 미국 Natchitoches Regional 공항 격납고에 주기 중 태풍으로 격납고 문이 동체 위로 떨어지면서 손상을 입음.
71,2022-06-03,GoJump Oceanside,Cessna 208B Supervan 900,APR,2,1,"GoJump Oceanside 소속 Cessna 208B Supervan 900 항공기가 미국 Oceanside Municipal 공항으로 접근 중 활주로에 미치지 못하고 추락하여 탑승자 2명 중 조종사 1명은 사망, 나머지 조종사 1명은 심각한 부상을 입음."
72,2022-06-04,Connecticut Parachutists,Cessna 208 Caravan I,LDG,1,0,"Connecticut Parachutists 소속 Cessna 208 Caravan I 항공기가 미국 Ellington 공항에 착륙 중 활주로를 이탈하여 숲에 충돌하였으나, 인명피해 없음. "
73,2022-06-07,Pacific Dental Services,Bombardier Challenger 300,TXI,4,0,"Pacific Dental Services 소속 Bombardier Challenger 300 항공기가 미국 Hawthorne 공항에서 착륙 후 지상이동 중 Pilatus PC-12 항공기와 충돌하여 경미한 손상을 입었으며, 인명피해 없음. "
74,2022-06-07,Alaskan Air Charter,Shorts SC.7 Skyvan 3-200,LDG,2,0,"Alaskan Air Charter 소속 Shorts SC.7 Skyvan 3-200 항공기가 미국 Chisana 비행장에 착륙하면서 노즈 랜딩기어가 붕괴, 동체 아랫부분을 꿰뚫었으나 인명피해 없음."
75,2022-06-13,Northern Meridian LLC,Cessna 550 Citation II,STD,0,0,Skydive Binz 소속 Cessna 208 Supervan 항공기가 미국  Fargo-Hector 공항 계류장에 주기 중에 차량의 충돌로 기체가 손상됨.
76,2022-06-15,ASL - Air Service Liege,Beech B200 Super King Air,LDG,,0,"Air Service Liege 소속 Beech B200 Super King Air 항공기가 벨기에 Liege 공항에서 동체 착륙하였으나, 인명피해 없음."
77,2022-06-16,Gomair,Boeing 737-3M8 (QC),LDG,,0,"Gomair 소속 Boeing 737-3M8 (QC) 항공기가 콩고민주공화국 Kananga 공항 착륙 중 랜딩기어 붕괴로 기체가 손상되었으나, 인명피해 없음."
