평점,리뷰
3.5,"원작 만화 고로 상 이미지와 다른 주인공 너낌에 영 적응이 안되고, 만화에서 독백과 영상에서 속엣말은 왜 이리 느낌이 또 다르냐ㅋ  밖으로 할 수 있는 말 너무 혼자해서 질림ㅋㅋ 드라마로서 '극'성은 좀 없는 것 같다. 틀어놓기  좋은 맘편한 작품이어서 좋아하고 계속 만들어졌나보다 싶기는 하다."
4.0,아재 먹방 비긴즈
4.0,"하라가
헷데키타
•
•
•"
4.0,볼때마다 배고픔 ㅠㅠㅠㅠ 짧게짧게 끊어보는데 너무 괴로운 ㅠㅠ
4.0,"지역의 평범한 식당들, 일상적인 음식들이 좋았다"
2.0,"단순하고도 명료한 중독성, (제일 기억에 남은 에피소드 : 4화 치바현 우라야스시의 시즈오카 오뎅)"
3.5,먹방인데 주인공이 너무 맛없게 먹는다.
3.0,고로상이랑 마주 보고 앉아서 얌냠
4.5,고독한 대식가 아저씨. 배고프다...
2.5,다이어트중인데 괴롭다...🤦‍♀️🤦‍♂️
4.0,난 이런 거 좋더라
5.0,맛표현과 일본을 알 수 있음
3.0,왓챠 가입하면 이거 시즌1부터 볼수 있는건가요?
4.0,좋고 재밌어 배고파지지
2.5,전설의 시작
5.0,하도 난리기에 봤으나 아쉽게도 나와는 사맞디 아니 할세. 만듦새는 조촐담백하고 주제는 한정적이어서 일본 요리를 닮았다. 충분히 마니아가 있을 법.
3.5,"독보적인 캐릭터와 보여줄것만 짧고 굵게 보여줘서 아주 만족.
매 화 마지막에 원작자가 직접 가게에 방문하는 쿠키영상도 좋음. 작가님 웃는 표정이 보는 사람도 편안하게 해준다."
3.0,보면 배고파짐 먹고 싶어짐
4.0,나는 생각한다. 고로 배가 고프다.
4.0,돈카츠 편까지 봄.. 고로상 초반엔 더 까칠했구나
4.5,"으음, 우마이!"
3.0,새로 발견한 나의 취미
5.0,고로상 나랑 친구할 상~
보는 중,재밌음 ㅋ 맛있게먹음
3.0,왜없어..
4.0,"음식만 나왔으면좋겠음
사람에 대한 문화가 너무 거부감 느껴짐"
4.0,시끌벅쩍한 '먹방' 예능보다 이러한 드라마가 좋다
3.5,아저씨 잘 드시네요
5.0,좋은 시작과 담백한 연출.
4.0,처음보는 전개 방법으로 충격적이었던 시즌
5.0,우마이~~~
4.0,내가 입원했을 때 단식 중 이걸 처음부터 다시봤는데 정말 고통스러웠다 한 회가 평균 18분인데 킬링타임하기 좋은만큼 금방 시즌이 끝나버린다 약간 아쉽지만 시즌 7까지 보면 시즌1기억안나서 다시보면 된다
4.5,"배고프지만 뭘 먹을수 없을때 본다.
내 허기짐 대신 채워주는 느낌"
4.0,별생각없이 보기좋다!! 이런게드문게매력
5.0,킬링타임용
3.5,"호불호,남녀노소를 가리지않는 미식드라마
우마이~"
4.0,오옷! 우마이!!
4.0,일본 여행 가고싶다.
3.5,게걸스럽지 않지만 맛있게 식사하는 고로씨를 보면 식욕이 샘솟는다. 한국의 먹방들이 벤치마크 해줬음 하는 먹방의 정석
4.0,오오오 우마이..!
4.5,"나는 화력 발전소다! 기관차 폭주!
재밌게 잘 봤습니다."
4.0,먹는것은 즐거움이자 나에 대한 보상
4.5,원조 먹방
3.0,고치소사마데시따! 🙋🏻‍♀️
4.0,아...우마이
4.0,이게 뭐라고 멍하니 보고 있냐 ㅋㅋ
4.5,처음에는 조금 낯선 방식의 전개지만 갈수록 빠져들게 되는 이상한 매력이 있다.. 비주얼 위주의 값비싼 곳만 찾아다니는 것이 아니라 좋다
