평점,리뷰
4.0,인물 관계 이해 안돼서 가계도 봤는데 흑백으로  칠해져 있길래 이게 뭐지 했다가 스포 다 당함 ^0^
4.5,브랜의 벽타기에서부터 이 모든 비극이 시작되었다
5.0,같이 살던 친구가 보길래 그게 뭐가 재밌냐 하면서 나는 최고의사랑을 봤었다...  이드라마를 요리할 때 주로 봤었는데 몰입감 때문에 양파 해쉬포테이토 고기 많이 태워먹었다.
1.0,대너리스 !!
0.5,"스토리상으로도 필요없는, ‘창녀’ 등장.조롱 장면과 대사가 진행 마다마다 등장해서 불쾌함에 보기가 어렵다."
5.0,"1화부터 의문들었음. 여자가 아닌 그냥 가축인데? 
저 시대가 시대인 만큼 흐린눈으로 보려 하지만 
전부 다 벗기고 맨날 강간씬 나오고  
음..... 세상의 많은 명작들중에 굳이 이 작품을 시간내서 봐야할까? 
그정도급은 아닌데 그래서 하차함"
5.0,"캐릭터들 다 매력적임ㅠㅠ개존잼
사람들이 왜 왕좌의 게임 왕좌의 게임 하는지 알거같음"
4.5,와 왓챠플레이어 띵작을 선사해주셔서 감사합니다.
3.5,"좋은 시나리오와 각본, 연출이 만났을 때."
보는 중,거대한 세계관에 다가서기엔 아직 무언가의 장벽이 존재하는 듯. 흡입력은 뒤로 가면 갈수록 커져만 간다.
0.5,죽여라. 더 죽여라. 다 죽여라.
1.5,누가누구야
5.0,그 명성에 비하면 너무나도 실망스럽더라. 바이킹스 발톱 때만도 못한 중세 포르노 장르. 거실서 보다 민망해 디지는줄 알았다. 참고 참아봤지만 개선의 여지가 없음.
5.0,과연 누가 주인공이였을까
0.5,"가차없는 드라마를 봤다.
재미도 스토리도 등장인물도 자비없이 완벽한 드라마."
4.0,반지의 제왕 같은걸 기대했건만
5.0,"에밀리아 클라크
므흣"
0.5,다시보고싶다
4.5,하루종일 강간할까 성매매할까 아님 성매수시킬까 고민하는 남자들의 왕좌 쟁탈전. 그나마 네드 스타크랑 아리아 때문에 봤는데 네드 죽으면서 시청의욕 수직하락.
4.5,이게 말로만 듣던 리얼 왕게임이군요! (feat. 파발의 시대에 LTE급 소문의 빠르기)
3.0,위대한 서사의 서막
4.5,사람들이 좋아하는 자극적인 맛
4.5,"생각보다 더 잔인하고 야하고 적나라하다. 
확실히 차별화된 뻔하지않은 조마조마하게 만드는
우리가 아는 그 드라마가 아니다. 진짜다!!"
1.0,"갈수록 고조되는 분위기, 시즌2를 볼 수밖에 없다"
5.0,스포일러가 있어요!! 보기
4.0,와 쩐다  조프리 쓰레기!!
4.0,처음엔 이해하기가 다소 난해했으나 기나긴 대장정의 서막으로는 훌륭하다.
4.0,개미지옥 입성.
4.5,"초반부터 인물이 많이 등장해 산만하긴 하지만 끝날 때쯤 되서는 인물이 많아도 이야기를 따라가는데 무리가 없다 이미 많이 죽는다는 걸 알고 있기 때문에 죽음으로 충격을 받진 않았다 어쨌든, 재미있는건 확실하다"
0.5,드라마의 스케일과 적나라함에 충격을 금치못했다. 1일 1시즌씩 돌파중. 그리고 일년 후 다시 정주행하니 수많은 사건 속 무심히 넘겼던 인물과 사물이 복선임을 깨닫고 놀람.
3.5,재밌는지도 모르겠고 딱히 특이한 이야기는 없이 자극적임
4.5,덕후들만을 위한 판타지 대 서사시의 시작
5.0,스포일러가 있어요!! 보기
4.5,누가 이 게임의 주인공인지 알 수 없지만 누구나 이 게임의 주인공일 수 있다
1.0,아노미상태
4.5,고작 여자 옷이나 벗기는 걸로 남자의 광기를 표현하는 미천한 지능수준
5.0,"볼 수 없었던걸 보게해주고,
느낄수 없었던걸 느끼게 해주고,
배울수 없던걸 배우게 해준
최고의 판타지 드라마"
5.0,"넷플릭스에서 왓챠로 넘어오게한 작품..
머리카락 땋기의 세계 1인자들.."
4.5,"판타지는 그닥 이라 차일피일 미루다가 이제서야 
언제 다보냐? 한달은 족히 걸리것제"
4.0,"분명 시즌5까지 다 봤는데, 유노 낫띵
존스노우~ 만 기억나서 다시 정주행 시자아아악"
4.0,"캐릭터 탐색전, 나중에야 알게 될 수많은 떡밥과 복선들의 향연"
4.5,난 재미를 모르던 드라마 // 몇 년 만에 다시 달리면서 느끼는 점은 왜 인기가 많은지 알겠다는. 퀄리티는 TV로 보기 미안한 수준.  결론은 유럽의 '영웅문'. 정확히 말하면 영웅문 2부신조협려전 느낌. 난 3부를 더 좋아한다.
5.0,벽 너머로부터 시작되는 겨울과 어둠. 벽 안에서의 전쟁과 음모. 해협 건너의 야만과 신비. 철왕좌를 둘러싼 전쟁과 암투...이런 식으로 설명하면 끝이 없겠지.
4.0,이 드라마를 보고 내가 무엇에 놀라고 감동하는지 깨달았다
4.5,내가 어쩌자고 이걸 보기 시작해서 (...)
4.0,스케일부터 다른 정치 드라마
